Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,ADSL_log
buenos aires,25 de mayo,25 de mayo,6854100,755,4600,0,2,0,742,0,727,6826,6.628041376179533
buenos aires,25 de mayo,del valle,6854020,181,0,0,0,10,1,0,0,192,5.204006687076795
buenos aires,25 de mayo,gobernador ugarte,6854040,0,0,0,0,0,0,0,181,181,0.0
buenos aires,25 de mayo,norberto de la riestra,6854060,0,782,0,496,16,0,0,185,1479,0.0
buenos aires,25 de mayo,lucas monteverde,6854050,0,0,0,0,0,0,0,6,6,0.0
buenos aires,25 de mayo,ernestina,6854030,75,0,0,0,0,0,0,0,75,4.330733340286331
buenos aires,25 de mayo,pedernales,6854070,154,0,0,25,21,0,0,7,207,5.043425116919247
buenos aires,9 de julio,12 de octubre,6588030,0,0,0,0,0,0,0,19,19,0.0
buenos aires,9 de julio,9 de julio,6588100,4241,3553,80,6238,0,0,0,831,14943,8.352790135124629
buenos aires,9 de julio,alfredo demarchi  (est. facundo quiroga),6588010,450,0,0,0,60,0,0,0,510,6.111467339502679
buenos aires,9 de julio,dudignac,6588040,0,0,0,0,0,0,0,474,474,0.0
buenos aires,9 de julio,manuel b. gonnet  (est. french),6588060,193,0,0,2,2,0,0,0,197,5.267858159063328
buenos aires,9 de julio,villa general fournier  (est. 9 de julio sud),6588120,0,0,0,118,0,0,0,42,160,0.0
buenos aires,9 de julio,patricios,6588110,81,0,0,0,0,0,0,50,131,4.406719247264253
buenos aires,9 de julio,morea,6588080,0,0,0,0,0,0,0,130,130,0.0
buenos aires,adolfo alsina,carhué,6007010,766,0,1,1417,1,0,0,1066,3251,6.642486801367256
buenos aires,adolfo alsina,maza,6007070,0,0,0,390,0,2,0,14,406,0.0
buenos aires,adolfo alsina,rivera,6007080,0,0,0,1253,0,0,0,0,1253,0.0
buenos aires,adolfo alsina,colonia san miguel arcángel,6007020,0,0,0,208,0,0,0,0,208,0.0
buenos aires,adolfo alsina,esteban agustín gascón,6007050,0,0,0,60,0,0,0,0,60,0.0
buenos aires,adolfo gonzales chaves,adolfo gonzales chaves  (est. chaves),6014010,464,0,2,943,0,0,0,690,2099,6.142037405587356
buenos aires,adolfo gonzales chaves,de la garma,6014020,0,0,0,654,6,0,0,57,717,0.0
buenos aires,adolfo gonzales chaves,juan e. barra,6014030,0,0,0,0,0,0,0,46,46,0.0
buenos aires,adolfo gonzales chaves,vásquez,6014040,0,0,0,0,0,0,0,14,14,0.0
buenos aires,alberti,alberti   (est. andrés vaccarezza),6021010,335,0,6,1,0,0,0,2,344,5.817111159963204
buenos aires,alberti,mechita,6021030,285,0,0,0,0,0,0,0,285,5.655991810819852
buenos aires,alberti,coronel seguí,6021020,0,0,0,0,0,0,0,5,5,0.0
buenos aires,alberti,villa ortiz  (est. coronel mom),6021070,0,0,0,0,0,0,0,24,24,0.0
buenos aires,almirante brown,adrogué,6028010,86,9355,53,12087,91,1,0,26,21699,4.465908118654584
buenos aires,almirante brown,burzaco,6028010,39,16766,35,12073,14,2,0,309,29238,3.6888794541139363
buenos aires,almirante brown,claypole,6028010,4,7732,3,3987,15,0,0,2,11743,1.6094379124341003
buenos aires,almirante brown,don orione,6028010,0,5756,0,0,42,0,0,1,5799,0.0
buenos aires,almirante brown,glew,6028010,11,9209,10,12012,12,0,0,54,21308,2.4849066497880004
buenos aires,almirante brown,jose mármol,6028010,0,7604,1,1605,4,0,0,1,9215,0.0
buenos aires,almirante brown,longchamps,6028010,16,9478,20,8223,29,0,0,1,17767,2.833213344056216
buenos aires,almirante brown,malvinas argentinas,6028010,1,4921,3,787,6,0,0,1,5719,0.6931471805599453
buenos aires,almirante brown,ministro rivadavia,6028010,3,3666,4,4309,0,0,0,1,7983,1.3862943611198906
buenos aires,almirante brown,rafael calzada,6028010,9,10941,14,10091,179,0,0,340,21574,2.302585092994046
buenos aires,almirante brown,san francisco solano,6028010,3,4418,4,4746,128,0,0,2,9301,1.3862943611198906
buenos aires,almirante brown,san jose,6028010,2,9013,1,1166,1,3,0,1,10187,1.0986122886681098
buenos aires,arrecifes,arrecifes,6077010,773,1297,12,6903,0,1,0,1325,10311,6.651571873589727
buenos aires,arrecifes,todd,6077020,0,0,0,341,0,0,0,0,341,0.0
buenos aires,arrecifes,viña,6077030,50,0,0,0,0,0,0,30,80,3.9318256327243257
buenos aires,avellaneda,avellaneda,6035010,903,8577,46,7442,168,8,0,79,17223,6.806829360392176
buenos aires,avellaneda,crucesita,6035010,1,4834,0,3047,7,0,0,0,7889,0.6931471805599453
buenos aires,avellaneda,dock sud,6035010,11,630,0,1908,13,0,0,26,2588,2.4849066497880004
buenos aires,avellaneda,gerli,6035010,3,5769,0,4826,5,0,0,0,10603,1.3862943611198906
buenos aires,avellaneda,pineyro,6035010,9,5704,1,2673,5,0,0,0,8392,2.302585092994046
buenos aires,avellaneda,sarandí,6035010,703,9510,60,13779,43,1,0,1,24097,6.556778356158042
buenos aires,avellaneda,villa domínico,6035010,15,8462,2,7525,19,0,0,600,16623,2.772588722239781
buenos aires,avellaneda,wilde,6035010,329,12033,62,16620,12,0,0,101,29157,5.799092654460526
buenos aires,ayacucho,ayacucho,6042010,1834,0,2,0,0,0,0,142,1978,7.51479976048867
buenos aires,ayacucho,la constancia,6042020,0,0,0,0,0,0,0,10,10,0.0
buenos aires,ayacucho,solanet,6042030,0,0,0,0,0,0,0,27,27,0.0
buenos aires,ayacucho,udaquiola,6042040,0,0,0,0,0,1,0,46,47,0.0
buenos aires,azul,azul,6049020,1692,14974,48,78,14,2,0,1145,17953,7.4342573821331355
buenos aires,azul,cacharí,6049030,0,0,2,0,0,0,0,521,523,0.0
buenos aires,azul,chillar,6049040,0,0,0,0,0,1,0,565,566,0.0
buenos aires,bahía blanca,bahía blanca,6056010,3774,103360,388,14732,64,8,0,2764,125090,8.236155661683124
buenos aires,bahía blanca,cabildo,6056020,0,193,4,210,2,0,0,66,475,0.0
buenos aires,bahía blanca,general daniel cerri  (est. general cerri),6056030,320,1670,1,2,0,0,0,15,2008,5.771441123130016
buenos aires,bahía blanca,ingeniero white,6056020,0,0,0,1,0,3,0,0,4,0.0
buenos aires,balcarce,balcarce,6063010,1347,11903,36,45,9,0,0,883,14223,7.206377291472252
buenos aires,balcarce,los pinos,6063020,0,0,0,0,9,0,0,30,39,0.0
buenos aires,balcarce,napaleofú,6063030,0,0,0,15,0,0,0,107,122,0.0
buenos aires,balcarce,ramos otero,6063040,0,0,0,0,0,0,0,8,8,0.0
buenos aires,balcarce,san agustín,6063050,0,0,0,0,3,0,0,72,75,0.0
buenos aires,balcarce,villa laguna la brava,6063060,0,0,0,0,0,0,0,42,42,0.0
buenos aires,baradero,baradero,6070010,1010,7486,0,85,0,2,0,827,9410,6.918695219020472
buenos aires,baradero,villa alsina  (est. alsina),6070040,96,0,0,0,10,0,0,248,354,4.574710978503383
buenos aires,baradero,irineo portela,6070020,0,0,0,1,0,0,0,78,79,0.0
buenos aires,baradero,santa coloma,6070030,0,0,0,0,0,0,0,55,55,0.0
buenos aires,benito juárez,barker,6084010,0,0,1,10,0,2,0,70,83,0.0
buenos aires,benito juárez,benito juárez  (est. juárez),6084020,650,0,20,563,4,1,0,147,1385,6.478509642208569
buenos aires,benito juárez,lópez,6084030,0,0,0,4,0,0,0,12,16,0.0
buenos aires,benito juárez,villa cacique  (est. alfredo fortabat),6084050,0,0,0,20,0,1,0,100,121,0.0
buenos aires,berazategui,berazategui,6091010,247,16915,38,29387,23,4,0,49,46663,5.5134287461649825
buenos aires,berazategui,berazategui oeste,6091010,16,130,0,15656,0,0,0,0,15802,2.833213344056216
buenos aires,berazategui,carlos tomás sourigues,6091010,1,1429,0,1925,2,0,0,0,3357,0.6931471805599453
buenos aires,berazategui,centro agrícola el pato,6091010,1348,2061,0,672,0,0,0,16,4097,7.207118856207756
buenos aires,berazategui,guillermo e. hudson,6091010,40,6090,2,9754,3,0,0,0,15889,3.713572066704308
buenos aires,berazategui,juan maría gutierrez,6091010,94,2038,2,5607,0,0,0,90,7831,4.553876891600541
buenos aires,berazategui,pereyra,6091010,0,247,1,431,0,0,0,0,679,0.0
buenos aires,berazategui,plátanos,6091010,0,1828,0,2273,1,0,0,0,4102,0.0
buenos aires,berazategui,ranelagh,6091010,10,2946,13,7764,0,1,0,0,10734,2.3978952727983707
buenos aires,berazategui,villa españa,6091010,1,1112,0,2328,1,0,0,0,3442,0.6931471805599453
buenos aires,berisso,berisso,6098010,3116,14231,21,7668,6,0,0,413,25455,8.044626279767337
buenos aires,berisso,villa nueva,6098010,0,0,0,132,0,0,0,250,382,0.0
buenos aires,berisso,barrio el carmen (este),6098010,0,0,0,132,0,0,0,250,382,0.0
buenos aires,berisso,villa arguello,6098010,0,0,0,132,0,0,0,250,382,0.0
buenos aires,berisso,villa progreso,6098010,0,0,0,132,0,0,0,250,382,0.0
buenos aires,bolívar,otros,Sin Datos,0,1,0,1,0,0,0,0,2,0.0
buenos aires,bolívar,pirovano,6105050,0,0,0,0,50,0,0,45,95,0.0
buenos aires,bolívar,san carlos de bolívar  (est. bolívar),6105060,727,5211,2,11,0,1,0,255,6207,6.590301048196686
buenos aires,bolívar,urdampilleta,6105070,0,0,5,2,0,0,0,71,78,0.0
buenos aires,bolívar,hale,6105010,10,0,0,0,0,0,0,0,10,2.3978952727983707
buenos aires,bolívar,juan f. ibarra,6105020,0,0,0,1,0,0,0,0,1,0.0
buenos aires,bragado,bragado,6112010,500,3107,10,249,0,0,0,212,4078,6.2166061010848646
buenos aires,bragado,general o'brien,6112030,321,0,0,83,0,0,0,36,440,5.7745515455444085
buenos aires,bragado,irala,6112040,0,2,0,0,0,0,0,22,24,0.0
buenos aires,bragado,mechita (est. mecha),6112070,10,8,0,0,0,0,0,8,26,2.3978952727983707
buenos aires,bragado,warnes,6112090,135,0,0,0,9,0,0,7,151,4.912654885736052
buenos aires,bragado,comodoro py,6112020,0,0,0,220,0,0,0,2,222,0.0
buenos aires,bragado,olascoaga,6112080,0,0,0,0,0,0,0,40,40,0.0
buenos aires,brandsen,coronel brandsen,6119050,1250,420,1,3393,1,0,0,1208,6273,7.1316985104669115
buenos aires,brandsen,jeppener,6119070,815,0,0,2,0,0,0,0,817,6.704414354964107
buenos aires,campana,campana,6126030,808,18717,1,11565,20,3,0,44,31158,6.695798917058491
buenos aires,campana,lomas del río luján (est. río luján),6126040,0,56,0,0,0,0,0,0,56,0.0
buenos aires,campana,alto los cardales,6126010,0,0,0,253,0,0,0,41,294,0.0
buenos aires,campana,barrio los pioneros,6126020,0,0,0,0,0,0,0,60,60,0.0
buenos aires,campana,chacras del río luján,6126035,0,0,0,0,0,0,0,35,35,0.0
buenos aires,cañuelas,alejandro petión,6134010,102,894,7,0,0,0,0,41,1044,4.634728988229636
buenos aires,cañuelas,barrio el taladro,6134020,0,0,0,200,0,0,0,0,200,0.0
buenos aires,cañuelas,cañuelas,6134030,909,5206,30,2419,0,1,0,526,9091,6.813444599510896
buenos aires,cañuelas,máximo paz,6134050,0,2536,0,1,0,0,0,270,2807,0.0
buenos aires,cañuelas,santa rosa,6134060,0,0,0,0,0,2,0,233,235,0.0
buenos aires,cañuelas,uribelarrea,6134070,63,0,0,686,0,0,0,141,890,4.1588830833596715
buenos aires,cañuelas,vicente casares,6134080,175,0,2,0,0,0,0,25,202,5.170483995038151
buenos aires,cañuelas,barrio belgrano-máximo paz,6134030,0,0,0,0,0,0,0,48,48,0.0
buenos aires,cañuelas,gobernador udaondo,6134040,0,0,0,1,0,0,0,20,21,0.0
buenos aires,capitán sarmiento,capitán sarmiento,6140010,144,4200,0,131,0,0,0,89,4564,4.976733742420574
buenos aires,capitán sarmiento,la luisa,6140020,0,0,0,0,0,0,0,44,44,0.0
buenos aires,carlos casares,cadret,6147020,0,0,0,0,1,0,0,48,49,0.0
buenos aires,carlos casares,carlos casares,6147030,1167,2,7,3056,0,0,0,2461,6693,7.0630481633881725
buenos aires,carlos casares,la sofía,6147060,0,0,0,0,0,0,0,1,1,0.0
buenos aires,carlos casares,moctezuma,6147080,0,0,0,0,0,0,0,161,161,0.0
buenos aires,carlos casares,santo tomás,6147095,0,0,0,0,0,0,0,44,44,0.0
buenos aires,carlos casares,smith,6147100,0,0,0,0,0,0,0,190,190,0.0
buenos aires,carlos casares,mauricio hirsch,6147070,0,0,0,0,0,0,0,47,47,0.0
buenos aires,carlos casares,bellocq,6147010,0,0,1,0,0,0,0,0,1,0.0
buenos aires,carlos tejedor,carlos tejedor,6154010,12,1263,1,68,0,0,0,499,1843,2.5649493574615367
buenos aires,carlos tejedor,colonia seré,6154020,0,0,0,50,0,0,0,77,127,0.0
buenos aires,carlos tejedor,tres algarrobos  (est. cuenca),6154050,0,0,0,0,0,1,0,198,199,0.0
buenos aires,carlos tejedor,curarú,6154030,0,0,0,0,0,0,0,16,16,0.0
buenos aires,carlos tejedor,timote,6154040,0,0,0,0,0,0,0,61,61,0.0
buenos aires,carmen de areco,carmen de areco,6161010,322,1750,5,8,1,0,0,1045,3131,5.777652323222656
buenos aires,carmen de areco,pueblo gouin,6161020,0,0,0,0,0,0,0,31,31,0.0
buenos aires,carmen de areco,tres sargentos,6161030,0,0,0,0,0,0,0,107,107,0.0
buenos aires,castelli,castelli,6168010,52,1109,0,1121,0,2,0,28,2312,3.970291913552122
buenos aires,castelli,centro guerrero,6168020,0,0,0,46,0,0,0,3,49,0.0
buenos aires,castelli,cerro de la gloria,6168030,0,0,0,7,0,0,0,0,7,0.0
buenos aires,chacabuco,castilla,6210010,0,0,0,0,0,0,0,274,274,0.0
buenos aires,chacabuco,chacabuco,6210020,1334,10152,15,1924,0,0,0,130,13555,7.19668657083435
buenos aires,chacabuco,o'higgins,6210040,260,0,0,220,0,0,0,12,492,5.564520407322694
buenos aires,chacabuco,rawson,6210050,59,0,0,383,0,0,0,134,576,4.0943445622221
buenos aires,chascomús,chascomús,6217010,1847,8030,79,1166,0,1,0,0,11123,7.521859252201629
buenos aires,chascomús,manuel j. cobo  (est. lezama),6217020,98,2000,0,2,0,0,444,0,2544,4.59511985013459
buenos aires,chascomús,barrio san cayetano,6217020,0,0,0,132,0,0,0,0,132,0.0
buenos aires,chivilcoy,chivilcoy,6224010,2031,9012,117,4061,1,1,0,5530,20753,7.616775808698373
buenos aires,chivilcoy,la rica,6224040,39,0,0,0,2,0,0,97,138,3.6888794541139363
buenos aires,chivilcoy,moquehuá,6224050,0,338,0,563,0,0,0,30,931,0.0
buenos aires,chivilcoy,ramón biaus,6224060,3,0,0,0,0,0,0,77,80,1.3862943611198906
buenos aires,chivilcoy,san sebastián,6224070,3,0,0,0,0,0,0,49,52,1.3862943611198906
buenos aires,chivilcoy,gorostiaga,6224030,55,0,0,0,0,0,0,2,57,4.02535169073515
buenos aires,chivilcoy,benitez,6224005,0,0,0,0,0,0,0,19,19,0.0
buenos aires,chivilcoy,emilio ayarza,6224020,0,0,0,0,0,0,0,5,5,0.0
buenos aires,colón,colón,6175010,4051,1796,0,4968,0,0,0,20,10835,8.306965865368573
buenos aires,colón,sarasa,6175040,0,0,0,0,0,0,0,14,14,0.0
buenos aires,coronel de marina l. rosales,balneario pehuen co,6182020,0,0,0,0,0,1,0,0,1,0.0
buenos aires,coronel de marina l. rosales,punta alta  (est almirante solier),6182030,634,21404,47,11,0,6,0,0,22102,6.453624998892692
buenos aires,coronel de marina l. rosales,villa general arias  (est. kilómetro 638),6182050,0,0,0,165,0,0,0,0,165,0.0
buenos aires,coronel de marina l. rosales,pago chico,6182025,0,0,0,0,0,0,0,42,42,0.0
buenos aires,coronel de marina l. rosales,bajo hondo,6182010,0,0,0,25,0,0,0,53,78,0.0
buenos aires,coronel de marina l. rosales,villa del mar,6182030,0,0,0,101,0,0,0,0,101,0.0
buenos aires,coronel dorrego,coronel dorrego,6189030,204,1414,3,8,0,0,0,32,1661,5.3230099791384085
buenos aires,coronel dorrego,el perdido  (est. josé a. guisasola),6189040,0,0,0,32,0,0,0,5,37,0.0
buenos aires,coronel dorrego,oriente,6189070,0,0,0,607,0,0,0,48,655,0.0
buenos aires,coronel dorrego,balneario marisol,6189020,0,0,0,402,0,0,0,0,402,0.0
buenos aires,coronel pringles,coronel pringles  (est. pringles),6196010,555,2056,3,5,0,0,0,171,2790,6.320768294250582
buenos aires,coronel pringles,indio rico,6196040,0,0,1,24,0,0,0,3,28,0.0
buenos aires,coronel suárez,coronel suárez,6203020,691,2932,84,1612,0,0,0,785,6104,6.539585955617669
buenos aires,coronel suárez,huanguelén,6203050,0,0,1,1630,0,0,0,536,2167,0.0
buenos aires,coronel suárez,pasman,6203060,0,0,0,0,0,0,0,71,71,0.0
buenos aires,coronel suárez,san josé,6203070,0,62,0,795,0,0,0,0,857,0.0
buenos aires,coronel suárez,santa maría,6203080,0,26,0,516,0,0,0,0,542,0.0
buenos aires,coronel suárez,santa trinidad,6203090,0,78,0,648,0,0,0,0,726,0.0
buenos aires,coronel suárez,villa la arcadia,6203100,0,104,0,127,0,0,0,0,231,0.0
buenos aires,daireaux,daireaux,6231030,226,0,0,0,194,50,0,339,809,5.424950017481403
buenos aires,daireaux,salazar,6231060,0,0,0,0,0,0,0,79,79,0.0
buenos aires,dolores,dolores,6238010,1045,10677,1,531,0,0,325,0,12579,6.952728644624869
buenos aires,dolores,sevigne,6238020,0,0,0,0,0,0,0,1,1,0.0
buenos aires,ensenada,ensenada,6245010,1196,11744,16,2926,13,0,0,2092,17987,7.087573705557973
buenos aires,ensenada,villa catela,6245010,0,0,0,0,0,0,0,7,7,0.0
buenos aires,escobar,belen de escobar,6252010,1415,16859,21,12302,388,1,0,99,31085,7.255591274253665
buenos aires,escobar,el cazador,6252010,0,972,0,2588,0,0,0,0,3560,0.0
buenos aires,escobar,garín,6252010,3400,10274,3,4786,8,1,0,11,18483,8.131824785007195
buenos aires,escobar,ingeniero maschwitz,6252010,306,4280,3,4082,7,0,0,300,8978,5.726847747587197
buenos aires,escobar,loma verde,6252010,0,0,0,1373,0,0,0,0,1373,0.0
buenos aires,escobar,maquinista f. savio (este),6252010,185,5034,0,131,2,0,0,14,5366,5.225746673713202
buenos aires,escobar,matheu,6252010,700,2723,2,64,3,1,0,58,3551,6.55250788703459
buenos aires,esteban echeverría,9 de abril,6260010,54,7100,6,12,4,0,0,153,7329,4.007333185232471
buenos aires,esteban echeverría,canning,6260010,2,4017,0,1173,7,0,0,60,5259,1.0986122886681098
buenos aires,esteban echeverría,el jagüel,6260010,0,5826,0,4,18,1,0,89,5938,0.0
buenos aires,esteban echeverría,luis guillón,6260010,3,7670,2,1809,20,0,0,77,9581,1.3862943611198906
buenos aires,esteban echeverría,monte grande,6260010,60,27615,57,28466,102,3,0,662,56965,4.110873864173311
buenos aires,esteban echeverría,zona aeropuerto internacional ezeiza,6260010,1,0,0,0,0,0,0,341,342,0.6931471805599453
buenos aires,exaltación de la cruz,arroyo de la cruz,6266010,0,0,0,0,0,0,0,164,164,0.0
buenos aires,exaltación de la cruz,capilla del señor  (est. capilla),6266020,294,0,5,100,0,0,0,0,399,5.68697535633982
buenos aires,exaltación de la cruz,los cardales,6266040,0,7649,2,146,0,2,0,31,7830,0.0
buenos aires,exaltación de la cruz,parada orlando,6266050,0,0,0,0,0,0,0,5,5,0.0
buenos aires,exaltación de la cruz,parada robles,6266060,1140,0,0,1917,0,0,0,164,3221,7.039660349862076
buenos aires,exaltación de la cruz,el remanso,6266030,397,0,0,335,0,0,0,43,775,5.986452005284438
buenos aires,ezeiza,aeropuerto internacional ezeiza,6270010,61,0,2,7,0,1,0,0,71,4.127134385045092
buenos aires,ezeiza,canning,6270010,58,1895,1,1255,18,0,0,79,3306,4.07753744390572
buenos aires,ezeiza,carlos spegazzini,6270010,23,4726,2,1979,2,1,0,2,6735,3.1780538303479458
buenos aires,ezeiza,josé maria ezeiza,6270010,33,12948,13,13653,75,2,0,91,26815,3.5263605246161616
buenos aires,ezeiza,la unión,6270010,0,8420,1,836,1,2,0,0,9260,0.0
buenos aires,ezeiza,otros,Sin Datos,3,1,0,5,0,0,0,0,9,1.3862943611198906
buenos aires,ezeiza,tristán suarez,6270010,34,10030,5,5319,5,0,0,3,15396,3.5553480614894135
buenos aires,florencio varela,bosques,6274010,0,6917,3,6427,17,0,0,266,13630,0.0
buenos aires,florencio varela,estanislao severo zeballos,6274010,3,2289,4,4541,0,0,0,0,6837,1.3862943611198906
buenos aires,florencio varela,florencio varela,6274010,314,16290,28,31866,330,2,0,810,49640,5.752572638825633
buenos aires,florencio varela,gobernador julio a. costa,6274010,0,7005,5,2805,1,0,0,0,9816,0.0
buenos aires,florencio varela,ingeniero juan allan,6274010,424,5318,0,2071,5,0,0,0,7818,6.052089168924417
buenos aires,florencio varela,la capilla,6274010,0,0,0,3,0,0,0,0,3,0.0
buenos aires,florencio varela,la rotonda,6274010,30,0,0,42,0,0,0,0,72,3.4339872044851463
buenos aires,florencio varela,villa brown,6274010,0,514,0,316,0,0,0,0,830,0.0
buenos aires,florencio varela,villa san luis,6274010,0,891,0,312,0,0,0,0,1203,0.0
buenos aires,florencio varela,villa santa rosa,6274010,3,3339,1,373,0,0,0,0,3716,1.3862943611198906
buenos aires,florencio varela,villa vatteone,6274010,4,3860,0,3984,1,0,0,0,7849,1.6094379124341003
buenos aires,florentino ameghino,blaquier,6277010,0,0,0,0,0,1,0,5,6,0.0
buenos aires,florentino ameghino,florentino ameghino,6277020,49,0,0,330,0,0,0,0,379,3.912023005428146
buenos aires,florentino ameghino,porvenir,6277030,0,0,0,0,0,0,0,2,2,0.0
buenos aires,general alvarado,comandante nicanor otamendi,6280010,0,0,3,930,0,1,0,32,966,0.0
buenos aires,general alvarado,mar del sur,6280020,0,0,1,0,0,0,0,142,143,0.0
buenos aires,general alvarado,mechongué,6280030,256,0,0,0,0,0,0,3,259,5.54907608489522
buenos aires,general alvarado,miramar,6280040,4318,1587,71,3530,2,2,0,960,10470,8.3707791729607
buenos aires,general alvarado,centinela del mar,6280005,0,0,0,0,0,0,0,1,1,0.0
buenos aires,general arenales,arribeños,6294010,218,401,1,291,16,0,0,274,1201,5.389071729816501
buenos aires,general arenales,ascensión,6294020,1200,395,0,0,250,0,0,140,1985,7.0909098220799835
buenos aires,general arenales,ferré,6294040,0,152,0,391,0,0,0,383,926,0.0
buenos aires,general arenales,general arenales,6294050,0,863,1,439,0,0,0,367,1670,0.0
buenos aires,general arenales,la angelita,6294060,26,0,0,0,2,0,0,73,101,3.295836866004329
buenos aires,general arenales,la trinidad,6294070,0,15,0,2,0,0,0,114,131,0.0
buenos aires,general belgrano,general belgrano,6301010,433,1916,5,2,0,1,0,884,3241,6.073044534100405
buenos aires,general belgrano,gorchs,6301020,0,0,0,0,0,1,0,44,45,0.0
buenos aires,general guido,general guido,6308010,0,0,1,302,0,0,0,228,531,0.0
buenos aires,general guido,labarden,6308020,0,0,0,0,0,0,0,72,72,0.0
buenos aires,general juan madariaga,general juan madariaga,6315010,352,486,8,6473,0,1,0,0,7320,5.8664680569332965
buenos aires,general la madrid,general la madrid,6322010,1948,0,70,1149,0,0,0,265,3432,7.575071699507561
buenos aires,general la madrid,las martinetas,6322030,0,0,0,0,0,0,0,16,16,0.0
buenos aires,general las heras,general las heras  (est. las heras),6329020,156,2222,3,0,1,0,0,1,2383,5.056245805348308
buenos aires,general las heras,lozano,6329020,0,0,0,0,0,1,0,0,1,0.0
buenos aires,general las heras,villars,6329060,0,270,1,1,0,0,0,0,272,0.0
buenos aires,general lavalle,general lavalle,6336020,0,358,0,4,0,1,0,69,432,0.0
buenos aires,general lavalle,otros,Sin Datos,0,0,0,1,0,0,0,0,1,0.0
buenos aires,general lavalle,pavón,6336030,0,0,0,201,22,0,0,3,226,0.0
buenos aires,general lavalle,chacras de san clemente,6336020,0,0,0,0,0,0,0,1,1,0.0
buenos aires,general paz,loma verde,6343020,0,0,0,0,0,0,0,205,205,0.0
buenos aires,general paz,ranchos,6343030,1202,0,10,976,0,0,0,1552,3740,7.0925737159746784
buenos aires,general paz,villanueva  (ap. río salado),6343040,0,0,0,0,0,0,0,166,166,0.0
buenos aires,general pinto,colonia san ricardo  (est. iriarte),6351010,244,0,0,5,0,0,0,21,270,5.501258210544727
buenos aires,general pinto,general pinto,6351020,0,0,3,0,0,1,0,0,4,0.0
buenos aires,general pinto,germania  (est. mayor josé orellano),6351030,1112,0,0,0,0,0,0,0,1112,7.014814351275545
buenos aires,general pinto,villa francia  (est. coronel granada),6351040,0,0,0,332,0,2,0,0,334,0.0
buenos aires,general pueyrredón,barrio colinas verdes,6351020,0,0,0,0,0,0,0,55,55,0.0
buenos aires,general pueyrredón,barrio el boquerón,6357020,0,0,0,0,0,0,0,99,99,0.0
buenos aires,general pueyrredón,barrio el casal,6357110,0,0,0,0,0,0,0,94,94,0.0
buenos aires,general pueyrredón,barrio el coyunco,6357110,0,0,0,25,0,0,0,87,112,0.0
buenos aires,general pueyrredón,barrio la gloria,6357050,0,0,0,0,0,0,0,350,350,0.0
buenos aires,general pueyrredón,barrio santa paula,6357060,0,0,0,127,0,0,0,97,224,0.0
buenos aires,general pueyrredón,batán,6357070,1313,0,0,1514,0,1,0,607,3435,7.1808311990445555
buenos aires,general pueyrredón,chapadmalal,6357080,0,0,0,2946,0,1,0,479,3426,0.0
buenos aires,general pueyrredón,estación chapadmalal,6357100,246,0,0,93,0,0,0,208,547,5.5093883366279774
buenos aires,general pueyrredón,mar del plata,6357110,9494,115206,512,149753,35,6,0,1460,276466,9.158520623246385
buenos aires,general pueyrredón,otros,Sin Datos,0,0,0,151,0,0,0,0,151,0.0
buenos aires,general pueyrredón,sierra de los padres,6357120,358,0,0,644,434,0,0,222,1658,5.883322388488279
buenos aires,general pueyrredón,camet,6357090,542,0,0,1788,0,0,0,361,2691,6.297109319933935
buenos aires,general pueyrredón,el marquesado,6357090,0,0,0,0,0,0,0,8,8,0.0
buenos aires,general rodríguez,general rodríguez,6364030,666,13030,20,8685,6075,1,0,504,28981,6.502790045915623
buenos aires,general rodríguez,barrio ruta 24 kilómetro 10,6364030,0,0,0,2,0,0,0,0,2,0.0
buenos aires,general san martín,barrio parque general san martin,6371010,0,0,3,3454,0,0,0,2,3459,0.0
buenos aires,general san martín,billinghurst,6371010,0,993,0,3538,0,0,0,0,4531,0.0
buenos aires,general san martín,ciudad del libertador general san martin,6371010,275,28504,5,6383,114,4,0,4,35289,5.62040086571715
buenos aires,general san martín,otros,Sin Datos,11,0,0,0,0,0,0,0,11,2.4849066497880004
buenos aires,general san martín,va ma irene de los remedios de escalada,6371010,0,97,0,0,10,0,0,0,107,0.0
buenos aires,general san martín,villa ayacucho,6371010,0,157,0,440,0,0,0,0,597,0.0
buenos aires,general san martín,villa ballester,6371010,111,22320,1,9007,153,0,0,347,31939,4.718498871295094
buenos aires,general san martín,villa bernardo monteagudo,6371010,0,544,0,1055,17,0,0,0,1616,0.0
buenos aires,general san martín,villa chacabuco,6371010,0,797,0,15,44,0,0,0,856,0.0
buenos aires,general san martín,villa coronel jose m. zapiola,6371010,0,1366,0,2110,36,0,0,0,3512,0.0
buenos aires,general san martín,villa general antonio j.  de sucre,6371010,0,531,0,844,25,0,0,0,1400,0.0
buenos aires,general san martín,villa general eugenio necochea,6371010,0,3092,0,2681,107,0,0,0,5880,0.0
buenos aires,general san martín,villa general jose tomas guido,6371010,0,1280,0,2415,68,0,0,0,3763,0.0
buenos aires,general san martín,villa general juan g. las heras,6371010,0,593,0,1145,24,0,0,0,1762,0.0
buenos aires,general san martín,villa godoy cruz,6371010,0,693,0,1293,30,0,0,0,2016,0.0
